-92559631349317831000000000000000000000000000000000000000000000.000000,-92559631349317831000000000000000000000000000000000000000000000.000000
-0.007000,0.142878
-0.007000,0.127678
-0.007000,0.093256
-0.007000,0.110766
-0.007000,0.117843
-0.007000,0.119907
-0.007000,0.093099
-0.007000,0.099516
-0.007000,0.069465
